Diagnóstico principal (CIE10MC),Total Nacional,Comunidades y Ciudades Autónomas,Total
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,Andalucía,4761302
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,Aragón,1288717
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,"Asturias, principado de",943142
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,"Balears, illes",1097088
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,Canarias,1997630
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,Cantabria,548700
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,Castilla y león,2553099
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,Castilla - la mancha,1325354
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,Cataluña,8440070
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,Comunitat valenciana,3178491
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,Extremadura,930604
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,Galicia,2368830
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,"Madrid, comunidad de",5458451
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,"Murcia, región de",1283944
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,"Navarra, comunidad foral de",518244
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,País vasco,2115015
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,"Rioja, la",326318
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,Ceuta,41793
"TODAS LAS CAUSAS A00-Z99 (salvo los códigos V, W, X, Y)",TOTAL NACIONAL,Melilla,57525
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,Andalucía,173767
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,Aragón,37823
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,"Asturias, principado de",25214
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,"Balears, illes",28155
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,Canarias,72976
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,Cantabria,14504
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,Castilla y león,73104
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,Castilla - la mancha,50432
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,Cataluña,203726
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,Comunitat valenciana,106898
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,Extremadura,21800
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,Galicia,62010
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,"Madrid, comunidad de",191889
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,"Murcia, región de",40766
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,"Navarra, comunidad foral de",13369
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,País vasco,53311
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,"Rioja, la",10751
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,Ceuta,1233
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99,TOTAL NACIONAL,Melilla,1680
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,Andalucía,13234
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,Aragón,4145
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,"Asturias, principado de",2580
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,"Balears, illes",4248
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,Canarias,3617
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,Cantabria,1035
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,Castilla y león,6907
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,Castilla - la mancha,5987
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,Cataluña,17996
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,Comunitat valenciana,11657
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,Extremadura,2994
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,Galicia,7628
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,"Madrid, comunidad de",20684
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,"Murcia, región de",3797
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,"Navarra, comunidad foral de",1625
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,País vasco,5236
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,"Rioja, la",1091
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,Ceuta,220
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",TOTAL NACIONAL,Melilla,63
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,Andalucía,6360
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,Aragón,1492
